point_group,index,symbol,x_ang,y_ang,z_ang
Ih,0,N,0.0,0.0,-0.0
Ih,1,C,-2.29606512426919,0.72359452371151,2.58984682062012
Ih,2,C,-3.01965964798069,1.17080053343851,1.41904628718161
Ih,3,C,-1.17080053343851,1.41904628718161,3.01965964798069
Ih,4,C,-2.58984682062012,2.29606512426919,0.72359452371151
Ih,5,C,-2.58984682062012,2.29606512426919,-0.7235945237115
Ih,6,C,-3.4668656577077,-0.0,0.6954517634701
Ih,7,C,-3.4668656577077,0.0,-0.6954517634701
Ih,8,C,-3.01965964798069,1.17080053343851,-1.41904628718161
Ih,9,C,-0.0,-0.6954517634701,3.4668656577077
Ih,10,C,-1.17080053343851,-1.41904628718161,3.01965964798069
Ih,11,C,0.0,0.6954517634701,3.4668656577077
Ih,12,C,-2.29606512426919,-0.7235945237115,2.58984682062012
Ih,13,C,-3.01965964798069,-1.17080053343851,1.41904628718161
Ih,14,C,-0.7235945237115,-2.58984682062012,2.29606512426919
Ih,15,C,-1.41904628718161,-3.01965964798069,1.17080053343851
Ih,16,C,-2.58984682062012,-2.29606512426919,0.7235945237115
Ih,17,C,2.29606512426919,0.7235945237115,2.58984682062012
Ih,18,C,2.29606512426919,-0.72359452371151,2.58984682062012
Ih,19,C,1.17080053343851,1.41904628718161,3.01965964798069
Ih,20,C,1.17080053343851,-1.41904628718161,3.01965964798069
Ih,21,C,0.72359452371151,-2.58984682062012,2.29606512426919
Ih,22,C,3.01965964798069,-1.17080053343851,1.41904628718161
Ih,23,C,2.58984682062012,-2.29606512426919,0.72359452371151
Ih,24,C,1.41904628718161,-3.01965964798069,1.17080053343851
Ih,25,C,1.41904628718161,3.01965964798069,1.17080053343851
Ih,26,C,2.58984682062012,2.29606512426919,0.7235945237115
Ih,27,C,0.7235945237115,2.58984682062012,2.29606512426919
Ih,28,C,3.01965964798069,1.17080053343851,1.41904628718161
Ih,29,C,3.4668656577077,0.0,0.6954517634701
Ih,30,C,2.58984682062012,2.29606512426919,-0.72359452371151
Ih,31,C,3.01965964798069,1.17080053343851,-1.41904628718161
Ih,32,C,3.4668656577077,-0.0,-0.6954517634701
Ih,33,C,-1.41904628718161,3.01965964798069,1.17080053343851
Ih,34,C,-0.6954517634701,3.4668656577077,-0.0
Ih,35,C,-0.72359452371151,2.58984682062012,2.29606512426919
Ih,36,C,0.6954517634701,3.4668656577077,0.0
Ih,37,C,1.41904628718161,3.01965964798069,-1.17080053343851
Ih,38,C,-1.41904628718161,3.01965964798069,-1.17080053343851
Ih,39,C,-0.7235945237115,2.58984682062012,-2.29606512426919
Ih,40,C,0.72359452371151,2.58984682062012,-2.29606512426919
Ih,41,C,2.29606512426919,-0.7235945237115,-2.58984682062012
Ih,42,C,2.29606512426919,0.72359452371151,-2.58984682062012
Ih,43,C,1.17080053343851,1.41904628718161,-3.01965964798069
Ih,44,C,1.17080053343851,-1.41904628718161,-3.01965964798069
Ih,45,C,1.41904628718161,-3.01965964798069,-1.17080053343851
Ih,46,C,2.58984682062012,-2.29606512426919,-0.7235945237115
Ih,47,C,3.01965964798069,-1.17080053343851,-1.41904628718161
Ih,48,C,0.7235945237115,-2.58984682062012,-2.29606512426919
Ih,49,C,-1.41904628718161,-3.01965964798069,-1.17080053343851
Ih,50,C,-0.6954517634701,-3.4668656577077,0.0
Ih,51,C,0.6954517634701,-3.4668656577077,-0.0
Ih,52,C,-0.72359452371151,-2.58984682062012,-2.29606512426919
Ih,53,C,-2.29606512426919,-0.72359452371151,-2.58984682062012
Ih,54,C,-3.01965964798069,-1.17080053343851,-1.41904628718161
Ih,55,C,-2.58984682062012,-2.29606512426919,-0.72359452371151
Ih,56,C,-1.17080053343851,-1.41904628718161,-3.01965964798069
Ih,57,C,-0.0,0.6954517634701,-3.4668656577077
Ih,58,C,-1.17080053343851,1.41904628718161,-3.01965964798069
Ih,59,C,-2.29606512426919,0.7235945237115,-2.58984682062012
Ih,60,C,0.0,-0.6954517634701,-3.4668656577077
