index,symbol,charge,population,spin_population
0,N,0.12536,6.87464,2.817365
1,C,-0.001925,6.001925,0.003038
2,C,-0.001854,6.001854,0.003073
3,C,-0.002051,6.002051,0.003016
4,C,-0.002081,6.002081,0.003127
5,C,-0.002076,6.002076,0.003127
6,C,-0.002566,6.002566,0.002956
7,C,-0.002584,6.002584,0.002956
8,C,-0.001842,6.001842,0.003073
9,C,-0.002523,6.002523,0.003016
10,C,-0.00205,6.00205,0.002986
11,C,-0.002517,6.002517,0.003016
12,C,-0.001924,6.001924,0.003067
13,C,-0.001846,6.001846,0.003052
14,C,-0.002002,6.002002,0.003013
15,C,-0.001979,6.001979,0.003015
16,C,-0.00208,6.00208,0.003147
17,C,-0.001924,6.001924,0.003067
18,C,-0.001929,6.001929,0.003038
19,C,-0.002051,6.002051,0.002986
20,C,-0.002036,6.002036,0.003016
21,C,-0.002005,6.002005,0.002965
22,C,-0.001853,6.001853,0.003073
23,C,-0.002076,6.002076,0.003126
24,C,-0.001987,6.001987,0.003063
25,C,-0.001973,6.001973,0.003016
26,C,-0.002083,6.002083,0.003147
27,C,-0.002003,6.002003,0.003012
28,C,-0.001849,6.001849,0.003053
29,C,-0.002575,6.002575,0.002956
30,C,-0.002073,6.002073,0.003147
31,C,-0.001857,6.001857,0.003053
32,C,-0.002566,6.002566,0.002957
33,C,-0.001995,6.001995,0.003062
34,C,-0.002483,6.002483,0.003091
35,C,-0.001992,6.001992,0.002966
36,C,-0.002488,6.002488,0.003152
37,C,-0.001978,6.001978,0.003016
38,C,-0.001991,6.001991,0.003062
39,C,-0.002003,6.002003,0.002966
40,C,-0.001999,6.001999,0.003012
41,C,-0.001925,6.001925,0.003038
42,C,-0.001912,6.001912,0.003067
43,C,-0.002059,6.002059,0.002986
44,C,-0.002057,6.002057,0.003016
45,C,-0.00199,6.00199,0.003063
46,C,-0.00208,6.00208,0.003127
47,C,-0.001853,6.001853,0.003073
48,C,-0.001983,6.001983,0.002965
49,C,-0.001973,6.001973,0.003015
50,C,-0.002482,6.002482,0.003153
51,C,-0.002492,6.002492,0.00309
52,C,-0.002014,6.002014,0.003013
53,C,-0.001927,6.001927,0.003067
54,C,-0.001845,6.001845,0.003052
55,C,-0.002082,6.002082,0.003147
56,C,-0.002042,6.002042,0.002986
57,C,-0.00251,6.00251,0.003016
58,C,-0.002056,6.002056,0.003016
59,C,-0.001924,6.001924,0.003038
60,C,-0.002519,6.002519,0.003016
