index,symbol,x_ang,y_ang,z_ang
,C,-0.88524,5.45059,-3.68078
,C,-0.80161,5.5636,-5.06058
,N,-1.20565,4.457,-5.66742
,C,-1.54788,3.63364,-4.70297
,N,-1.37269,4.18869,-3.46401
,C,-0.32117,6.76537,-5.81882
,C,-0.56097,6.3879,-2.55548
,C,-2.07636,2.23671,-4.84188
,C,0.29882,6.6065,-7.05251
,C,0.74398,7.72001,-7.75505
,C,0.56914,8.99238,-7.22391
,C,-0.05086,9.15125,-5.99022
,C,-0.49601,8.03775,-5.28767
,C,-1.33588,6.38294,-1.40175
,C,-1.03543,7.2514,-0.35909
,C,0.03993,8.12483,-0.47018
,C,0.81484,8.12979,-1.62391
,C,0.51439,7.26133,-2.66656
,C,-2.90832,1.91113,-5.90652
,C,-3.39798,0.61681,-6.03523
,C,-3.05569,-0.35194,-5.09929
,C,-2.22373,-0.02636,-4.03464
,C,-1.73407,1.26797,-3.90594
,C,-1.65297,3.55247,-2.18016
,C,-0.39202,3.48297,-1.37072
,N,-0.0818,2.08796,-1.07191
,C,-0.5,1.41421,0.0
,O,-1.20869,1.91544,0.86791
,C,0.0,0.0,0.0
,C,1.5,0.0,0.0
,C,2.0,0.70711,1.22474
,C,2.23071,2.0277,1.21579
,C,2.73071,2.7348,2.44053
,C,2.89737,4.19525,2.14167
,C,3.77411,4.60292,1.13226
,C,3.91622,5.9675,0.86821
,C,3.20398,6.90745,1.58991
,C,2.32669,6.50672,2.59939
,C,2.17565,5.14426,2.87324
,C,3.57547,8.26346,1.07067
,O,4.51981,8.00935,0.03706
,C,4.75046,6.68517,-0.11777
,C,1.54484,7.51053,3.39379
,O,4.48022,3.65662,0.4179
,O,1.31183,4.73452,3.8684
,C,1.87675,4.62586,5.12277
,O,5.53757,6.25231,-0.96219
,C,2.23347,-0.11145,2.45984
,H,0.43495,5.6159,-7.46603
,H,1.22667,7.59632,-8.71554
,H,0.91571,9.8593,-7.77087
,H,-0.18698,10.14186,-5.57669
,H,-0.9787,8.16143,-4.32718
,H,-2.17311,5.70293,-1.31526
,H,-1.63874,7.24754,0.53915
,H,0.27385,8.80097,0.34158
,H,1.65207,8.8098,-1.7104
,H,1.1177,7.26519,-3.5648
,H,-3.17481,2.66536,-6.6352
,H,-4.0457,0.36333,-6.86411
,H,-3.43692,-1.35964,-5.19949
,H,-1.95724,-0.78058,-3.30597
,H,-1.08635,1.52144,-3.07706
,H,-2.39925,4.1358,-1.64082
,H,-2.03222,2.54465,-2.3492
,H,0.42808,3.92429,-1.93708
,H,-0.52745,4.03264,-0.43926
,H,0.50073,1.71564,-1.80821
,H,-0.36333,-0.51383,0.88998
,H,-0.36333,-0.51383,-0.88998
,H,1.86333,-1.02766,0.0
,H,1.86333,0.51383,-0.88998
,H,2.06256,2.61721,0.32628
,H,2.01273,2.60942,3.25102
,H,3.6909,2.31276,2.73719
,H,2.71519,8.80205,0.67024
,H,4.02218,8.89269,1.84205
,H,0.92504,6.99188,4.12519
,H,2.23242,8.18046,3.91004
,H,0.9089,8.08868,2.72339
,H,4.30634,2.70881,0.68515
,H,1.11955,4.29832,5.83513
,H,2.68772,3.89811,5.09422
,H,2.2692,5.59532,5.42973
,H,1.9871,-1.15367,2.25694
,H,3.28056,-0.03607,2.75313
,H,1.60239,0.26059,3.26696
