atom_i,symbol_i,atom_j,symbol_j,bond_order
0,C,1,C,1.0422
0,C,4,N,1.193
0,C,6,C,1.0961
1,C,2,N,1.315
1,C,5,C,1.0808
2,N,3,C,1.513
3,C,4,N,1.2307
3,C,7,C,0.8328
4,N,23,C,0.8789
5,C,8,C,1.2097
5,C,12,C,1.2355
6,C,13,C,1.1448
6,C,17,C,1.1275
7,C,18,C,1.3838
7,C,22,C,1.2604
8,C,9,C,1.4582
8,C,48,H,0.9657
9,C,10,C,1.4081
9,C,49,H,0.9815
10,C,11,C,1.2809
10,C,50,H,0.9806
11,C,12,C,1.5693
11,C,51,H,0.9824
12,C,52,H,0.9682
13,C,14,C,1.5715
13,C,53,H,0.9868
14,C,15,C,1.2567
14,C,54,H,0.985
15,C,16,C,1.3654
15,C,55,H,0.9897
16,C,17,C,1.494
16,C,56,H,0.9844
17,C,57,H,0.9722
18,C,19,C,1.4551
18,C,58,H,0.9751
19,C,20,C,1.3815
19,C,59,H,0.9838
20,C,21,C,1.405
20,C,60,H,0.9761
21,C,22,C,1.4566
21,C,61,H,0.9776
22,C,62,H,0.9615
23,C,24,C,0.9351
23,C,63,H,0.9637
23,C,64,H,0.9727
24,C,25,N,0.943
24,C,65,H,0.9629
24,C,66,H,0.9564
25,N,26,C,1.2502
25,N,67,H,0.9008
26,C,27,O,1.9468
26,C,28,C,1.0017
28,C,29,C,0.917
28,C,68,H,0.9664
28,C,69,H,0.9735
29,C,30,C,0.9334
29,C,70,H,0.9769
29,C,71,H,0.9673
30,C,31,C,1.9274
30,C,47,C,0.9429
31,C,32,C,0.9513
31,C,72,H,0.9579
32,C,33,C,0.8705
32,C,73,H,0.9751
32,C,74,H,1.0005
33,C,34,C,1.3619
33,C,38,C,1.3647
34,C,35,C,1.1972
34,C,43,O,1.3262
35,C,36,C,1.3041
35,C,41,C,0.9986
36,C,37,C,1.3078
36,C,39,C,1.0422
37,C,38,C,1.3799
37,C,42,C,0.9143
38,C,44,O,0.9837
39,C,40,O,0.9197
39,C,75,H,0.9323
39,C,76,H,0.9616
40,O,41,C,1.2345
41,C,46,O,2.0011
42,C,77,H,0.996
42,C,78,H,0.9765
42,C,79,H,0.9634
43,O,80,H,0.8324
44,O,45,C,0.9027
45,C,81,H,0.9757
45,C,82,H,0.9692
45,C,83,H,0.9707
47,C,84,H,0.9941
47,C,85,H,0.9681
47,C,86,H,0.9673
